date,discipline,frustration,deviation
2022-07-01,49.71230694910996,0.3,30.0
2022-07-02,49.65192914089809,0.6028769305089003,30.28769305089004
2022-07-03,45.32008967106132,0.9063576390999195,30.34807085910191
2022-07-04,45.63467210931972,1.2531567423893064,34.67991032893868
2022-07-05,44.949439373222006,1.5968100212961092,34.36532789068028
2022-07-06,42.74575535866674,1.947315627563889,35.050560626777994
2022-07-07,39.268985301581324,2.3198580739772217,37.25424464133326
2022-07-08,41.403631660829205,2.7271682209614085,40.731014698418676
2022-07-09,45.4604018476859,3.1131319043531165,38.596368339170795
2022-07-10,43.156266653315214,3.4585278858762574,34.5395981523141
2022-07-11,45.376470590289266,3.8269652193431054,36.843733346684786
2022-07-12,43.808828957778715,4.173200513440213,34.623529409710734
2022-07-13,42.747652384704836,4.535112223862425,36.191171042221285
2022-07-14,44.380981411400384,4.907635700015377,37.252347615295164
2022-07-15,42.803634218839896,5.263825885901373,35.619018588599616
2022-07-16,40.195908595531556,5.635789543712974,37.196365781160104
2022-07-17,40.43169817537773,6.0338304577576585,39.804091404468444
2022-07-18,36.18526156894555,6.429513476003881,39.56830182462227
2022-07-19,40.223912553261954,6.867660860314425,43.81473843105445
2022-07-20,35.72802089272738,7.265421734781805,39.776087446738046
2022-07-21,39.69660353411773,7.708141525854531,44.27197910727262
2022-07-22,37.13460394749734,8.111175490513354,40.30339646588227
2022-07-23,32.03836581623223,8.539829451038381,42.86539605250266
2022-07-24,34.4250976560392,9.01944579287606,47.96163418376777
2022-07-25,34.18040406016013,9.475194816315668,45.5749023439608
2022-07-26,28.79643247831242,9.933390775714066,45.81959593983987
2022-07-27,23.4536656577461,10.445426450930942,51.20356752168758
2022-07-28,22.343521332389656,11.010889794353481,56.5463343422539
2022-07-29,21.277211319650174,11.587454581029585,57.656478667610344
2022-07-30,22.527741908814576,12.174682467833083,58.72278868034982
2022-07-31,17.763510711360844,12.749405048744938,57.472258091185424
2022-08-01,13.436286902635079,13.37176994163133,62.236489288639156
2022-08-02,9.395664163942794,14.03740707260498,66.56371309736492
2022-08-03,11.388076754592422,14.743450430965552,70.6043358360572
2022-08-04,13.884734227166156,15.429569663419628,68.61192324540758
2022-08-05,13.37908992557896,16.090722321147965,66.11526577283385
2022-08-06,13.04784625630642,16.756931421892176,66.62091007442103
2022-08-07,13.660600371141136,17.42645295932911,66.95215374369359
2022-08-08,16.078992291464054,18.089846955617702,66.33939962885887
2022-08-09,19.543166303871423,18.72905703270306,63.921007708535946
2022-08-10,14.677129451635524,19.333625369664347,60.45683369612858
2022-08-11,12.691511641570095,19.986854075147992,65.32287054836448
2022-08-12,13.69828025539867,20.65993895873229,67.30848835842991
2022-08-13,9.952402121054998,21.322956156178304,66.30171974460133
2022-08-14,6.469267369975683,22.023432134967752,70.047597878945
2022-08-15,8.735758602581049,22.758739461267997,73.53073263002432
2022-08-16,7.743171408462601,23.471381875242187,71.26424139741896
2022-08-17,10.86213331058625,24.193950161157563,72.2568285915374
2022-08-18,5.9823608826868595,24.8853288280517,69.13786668941376
2022-08-19,6.734979308203363,25.625505219224834,74.01763911731314
2022-08-20,7.16408942570982,26.3581554261428,73.26502069179664
2022-08-21,5.568155159447055,27.086514531885705,72.83591057429018
2022-08-22,5.681707277815893,27.830832980291234,74.43184484055294
2022-08-23,3.8792059637956307,28.574015907513076,74.31829272218411
2022-08-24,0.0,29.33522384787512,76.12079403620437
2022-08-25,0.9234040961027157,30.13522384787512,80.0
2022-08-26,0.9637883819474853,30.925989806914092,79.07659590389729
2022-08-27,0.0,31.716351923094617,79.03621161805252
2022-08-28,0.0,32.51635192309462,80.0
2022-08-29,0.0,33.316351923094615,80.0
2022-08-30,0.0,34.11635192309461,80.0
2022-08-31,0.0,34.91635192309461,80.0
2022-09-01,0.0,35.71635192309461,80.0
2022-09-02,1.4109903246766549,36.516351923094604,80.0
2022-09-03,0.0,37.30224201984784,78.58900967532334
2022-09-04,0.0,38.102242019847836,80.0
2022-09-05,0.0,38.90224201984783,80.0
2022-09-06,0.0,39.70224201984783,80.0
2022-09-07,2.8163651462498756,40.50224201984783,80.0
2022-09-08,0.0,41.274078368385325,77.18363485375012
2022-09-09,0.0,42.07407836838532,80.0
2022-09-10,1.5819655129684045,42.87407836838532,80.0
2022-09-11,0.0,43.658258713255634,78.41803448703159
2022-09-12,0.0,44.45825871325563,80.0
2022-09-13,0.0,45.25825871325563,80.0
2022-09-14,1.9969619686994577,46.058258713255626,80.0
2022-09-15,1.8966280812753644,46.83828909356863,78.00303803130055
2022-09-16,0.0,47.61932281275588,78.10337191872463
2022-09-17,0.0,48.41932281275588,80.0
2022-09-18,0.0,49.21932281275588,80.0
2022-09-19,0.48792723779668723,50.019322812755874,80.0
2022-09-20,0.0,50.81444354037791,79.51207276220332
2022-09-21,0.0,51.614443540377906,80.0
2022-09-22,0.0,52.4144435403779,80.0
2022-09-23,0.0,53.2144435403779,80.0
2022-09-24,0.0,54.0144435403779,80.0
2022-09-25,0.0,54.814443540377894,80.0
2022-09-26,0.0,55.61444354037789,80.0
2022-09-27,0.0,56.41444354037789,80.0
2022-09-28,0.0,57.214443540377886,80.0
2022-09-29,0.0,58.01444354037788,80.0
2022-09-30,0.0,58.81444354037788,80.0
2022-10-01,1.4887457704256377,59.61444354037788,80.0
2022-10-02,2.17590419048336,60.39955608267362,78.51125422957436
2022-10-03,0.0,61.17779704076879,77.82409580951663
2022-10-04,0.0,61.977797040768785,80.0
2022-10-05,0.0,62.77779704076878,80.0
2022-10-06,0.0,63.57779704076878,80.0
2022-10-07,0.0,64.37779704076878,80.0
2022-10-08,0.0,65.17779704076878,80.0
2022-10-09,0.4891038624414783,65.97779704076878,80.0
2022-10-10,0.0,66.77290600214437,79.51089613755852
2022-10-11,0.0,67.57290600214436,80.0
2022-10-12,0.0,68.37290600214436,80.0
2022-10-13,0.0,69.17290600214436,80.0
2022-10-14,0.0,69.97290600214436,80.0
2022-10-15,0.0,70.77290600214435,80.0
2022-10-16,0.0,71.57290600214435,80.0
2022-10-17,0.0,72.37290600214435,80.0
2022-10-18,0.0,73.17290600214434,80.0
2022-10-19,0.0,73.97290600214434,80.0
2022-10-20,0.0,74.77290600214434,80.0
2022-10-21,0.0,75.57290600214434,80.0
2022-10-22,0.0,76.37290600214433,80.0
2022-10-23,0.0,77.17290600214433,80.0
2022-10-24,0.0,77.97290600214433,80.0
2022-10-25,0.0,78.77290600214432,80.0
2022-10-26,0.0,79.57290600214432,80.0
2022-10-27,0.0,80.37290600214432,80.0
2022-10-28,0.0,81.17290600214432,80.0
